key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
27,3,"Smithing","RecipeLevelTable#11","Bronze Awl",1,"Bronze Ingot",1,"Ash Lumber",1,"Jellyfish Humours",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
28,3,"Smithing","RecipeLevelTable#11","Bronze Scythe",1,"Bronze Ingot",1,"Ash Lumber",1,"Ragstone Whetstone",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
29,3,"Smithing","RecipeLevelTable#11","Amateur's Doming Hammer",1,"Bronze Ingot",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
30,3,"Smithing","RecipeLevelTable#11","Amateur's Pickaxe",1,"Bronze Ingot",1,"Undyed Hempen Cloth",1,"Ash Lumber",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
31,3,"Smithing","RecipeLevelTable#11","Amateur's Head Knife",1,"Bronze Ingot",1,"Ash Lumber",1,"Ragstone Whetstone",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
32,3,"Smithing","RecipeLevelTable#12","Bronze Culinary Knife",1,"Bronze Ingot",1,"Ash Lumber",1,"Ragstone Whetstone",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
33,3,"Smithing","RecipeLevelTable#12","Bronze Sledgehammer",1,"Bronze Ingot",1,"Ash Lumber",1,"Animal Glue",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
34,3,"Smithing","RecipeLevelTable#12","Amateur's Saw",1,"Bronze Ingot",1,"Bronze Rivets",1,"Ash Lumber",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
35,3,"Smithing","RecipeLevelTable#12","Amateur's Hatchet",1,"Bronze Ingot",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
36,3,"Smithing","RecipeLevelTable#12","Bronze Ornamental Hammer",1,"Amateur's Chaser Hammer",1,"Bronze Rivets",2,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
37,3,"Smithing","RecipeLevelTable#13","Bronze Knuckles",1,"Bronze Ingot",2,"Hard Leather",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
38,3,"Smithing","RecipeLevelTable#13","Bronze Spatha",1,"Bronze Ingot",1,"Hard Leather",1,"Ram Horn",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
39,3,"Smithing","RecipeLevelTable#14","Spiked Bronze Labrys",1,"Bronze Ingot",3,"Ash Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
40,3,"Smithing","RecipeLevelTable#14","Brass Head Knife",1,"Bronze Head Knife",1,"Ragstone Whetstone",1,"Brass Ingot",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
41,3,"Smithing","RecipeLevelTable#15","Birdsbeak Hammer",1,"Bronze Ingot",1,"Undyed Cotton Cloth",1,"Ash Lumber",1,"Jellyfish Humours",1,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
42,3,"Smithing","RecipeLevelTable#15","Bronze Raising Hammer",1,"Bronze Ingot",1,"Bronze Plate",1,"Ash Lumber",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
43,1,"Smithing","RecipeLevelTable#16","Iron Ingot",1,"Iron Ore",3,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,,0,"",0,"",0,"RecipeNotebookList#50",80,58,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
44,3,"Smithing","RecipeLevelTable#16","Plumed Bronze Pickaxe",1,"Bronze Pickaxe",1,"Hard Leather",1,"Crow Feather",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
45,3,"Smithing","RecipeLevelTable#16","Brass Bastard Sword",1,"Bronze Bastard Sword",1,"Brass Ingot",2,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
46,3,"Smithing","RecipeLevelTable#16","Chocobotail Saw",1,"Amateur's Saw",1,"Bronze Rivets",2,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
47,3,"Smithing","RecipeLevelTable#16","Brass Knuckles",1,"Bronze Knuckles",1,"Brass Ingot",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
48,3,"Smithing","RecipeLevelTable#17","Iron War Axe",1,"Iron Ingot",2,"Ash Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
49,3,"Smithing","RecipeLevelTable#17","Iron Hatchet",1,"Iron Ingot",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
50,3,"Smithing","RecipeLevelTable#17","Iron Labrys",1,"Iron Ingot",2,"Elm Lumber",1,"Hard Leather",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
51,1,"Smithing","RecipeLevelTable#18","Iron Rivets",1,"Iron Ingot",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,,0,"",0,"",50,"RecipeNotebookList#50",80,58,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
52,3,"Smithing","RecipeLevelTable#18","Iron Cross-pein Hammer",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Elm Lumber",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
53,3,"Smithing","RecipeLevelTable#18","Iron Chaser Hammer",1,"Iron Ingot",1,"Iron Rivets",1,"Elm Lumber",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
54,3,"Smithing","RecipeLevelTable#18","Iron Doming Hammer",1,"Iron Ingot",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
55,3,"Smithing","RecipeLevelTable#19","Iron Awl",1,"Iron Ingot",1,"Elm Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
56,3,"Smithing","RecipeLevelTable#19","Initiate's Hatchet",1,"Iron Ingot",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
57,3,"Smithing","RecipeLevelTable#19","Initiate's Head Knife",1,"Iron Ingot",1,"Ash Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
58,3,"Smithing","RecipeLevelTable#19","Initiate's Sledgehammer",1,"Iron Ingot",1,"Elm Lumber",1,"Fish Glue",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
59,3,"Smithing","RecipeLevelTable#20","Brass Viking Sword",1,"Viking Sword",1,"Brass Ingot",1,"Aldgoat Leather",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
60,3,"Smithing","RecipeLevelTable#20","Iron Pickaxe",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Ash Lumber",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
61,3,"Smithing","RecipeLevelTable#20","Initiate's Saw",1,"Iron Ingot",1,"Iron Rivets",1,"Ash Lumber",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
62,3,"Smithing","RecipeLevelTable#20","Iron Claw Hammer",1,"Iron Ingot",1,"Elm Lumber",1,"Jellyfish Humours",1,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
63,3,"Smithing","RecipeLevelTable#20","Carnage Sword",1,"Brass Bastard Sword",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
64,3,"Smithing","RecipeLevelTable#21","Iron Culinary Knife",1,"Iron Ingot",1,"Elm Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
65,3,"Smithing","RecipeLevelTable#21","Iron Scythe",1,"Iron Ingot",1,"Elm Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
66,3,"Smithing","RecipeLevelTable#21","Iron Mortar",1,"Iron Ingot",2,"Elm Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
67,3,"Smithing","RecipeLevelTable#21","Inferno Axe",1,"Iron War Axe",1,"Iron Ingot",1,"Brass Ingot",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#150",75,100,0,0,0,0,0,0,0,False,"Master Carpenter I",,0,0,False,"","",65535,0
68,3,"Smithing","RecipeLevelTable#21","Initiate's Cross-pein Hammer",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Yew Lumber",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
69,3,"Smithing","RecipeLevelTable#21","Initiate's Chaser Hammer",1,"Iron Ingot",1,"Iron Rivets",1,"Yew Lumber",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
70,3,"Smithing","RecipeLevelTable#21","Initiate's Doming Hammer",1,"Iron Ingot",1,"Yew Lumber",1,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
71,3,"Smithing","RecipeLevelTable#22","Iron File",1,"Iron Ingot",2,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
72,3,"Smithing","RecipeLevelTable#22","Iron Pliers",1,"Iron Ingot",1,"Iron Rivets",1,"Clove Oil",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
73,3,"Smithing","RecipeLevelTable#22","Initiate's Pickaxe",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Elm Lumber",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
74,3,"Smithing","RecipeLevelTable#22","Iron Shortsword",1,"Iron Ingot",2,"Elm Lumber",1,"Aldgoat Leather",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
75,3,"Smithing","RecipeLevelTable#23","Iron Sledgehammer",1,"Iron Ingot",1,"Elm Lumber",1,"Fish Glue",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
76,3,"Smithing","RecipeLevelTable#23","Initiate's Awl",1,"Iron Ingot",1,"Yew Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
77,3,"Smithing","RecipeLevelTable#23","Spiked Knuckles",1,"Iron Plate",1,"Iron Ingot",1,"Aldgoat Leather",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
78,3,"Smithing","RecipeLevelTable#24","Iron Bill",1,"Iron Ingot",2,"Yew Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"",0,"Gil",50,"RecipeNotebookList#100",100,100,0,0,0,0,0,0,0,True,"Master Carpenter I",,0,0,False,"","",65535,0
